GT,Sinogram,Lambda,Iterations,RE,PSNR,SSIM,Min,Max
0.png,limited_clean_sinogram.npy,0.001,60,0.88243765,14.048777060068696,0.16308110309461432,0.0,1.0
0.png,limited_clean_sinogram.npy,0.005,60,0.88289076,14.044318574065146,0.1618503163735167,0.0,1.0
0.png,limited_clean_sinogram.npy,0.01,60,0.8833684,14.039620606261035,0.16068256310275777,0.0,1.0
0.png,limited_clean_sinogram.npy,0.05,60,0.88521475,14.021485116322829,0.15785349159246873,0.0,1.0
0.png,limited_clean_sinogram.npy,0.1,60,0.8856935,14.016788270866698,0.1576844677313259,0.0,1.0
1.png,limited_clean_sinogram.npy,0.001,60,0.8502358,14.34403093890814,0.26578153129172516,0.0,1.0
1.png,limited_clean_sinogram.npy,0.005,60,0.8506752,14.339542298555912,0.2643212708649654,0.0,1.0
1.png,limited_clean_sinogram.npy,0.01,60,0.8511375,14.334824267866242,0.2629482515850497,0.0,1.0
1.png,limited_clean_sinogram.npy,0.05,60,0.85293585,14.316491058934364,0.25970278037401556,0.0,1.0
1.png,limited_clean_sinogram.npy,0.1,60,0.85339576,14.311809931068282,0.25950899621299645,0.0,1.0
2.png,limited_clean_sinogram.npy,0.001,60,0.8825603,14.11595633928874,0.16277002071080526,0.0,1.0
2.png,limited_clean_sinogram.npy,0.005,60,0.8830217,14.11141675185746,0.16151755733204745,0.0,1.0
2.png,limited_clean_sinogram.npy,0.01,60,0.8835085,14.106629808633699,0.16032955394551235,0.0,1.0
2.png,limited_clean_sinogram.npy,0.05,60,0.88539004,14.088151511979198,0.1574569845665936,0.0,1.0
2.png,limited_clean_sinogram.npy,0.1,60,0.8858769,14.083377310282824,0.1572867396427515,0.0,1.0
0.png,limited_noisy_sinogram.npy,0.001,60,0.9461308,13.443434366422904,0.13443095247628667,0.0,1.0
0.png,limited_noisy_sinogram.npy,0.005,60,0.946797,13.437320693996671,0.1339248741596886,0.0,1.0
0.png,limited_noisy_sinogram.npy,0.01,60,0.94754106,13.430497504134769,0.13338231374108353,0.0,1.0
0.png,limited_noisy_sinogram.npy,0.05,60,0.95149654,13.394314007628601,0.13113308057764947,0.0,1.0
0.png,limited_noisy_sinogram.npy,0.1,60,0.95332885,13.377602881809844,0.1305978859222958,0.0,1.0
1.png,limited_noisy_sinogram.npy,0.001,60,0.8842476,14.00334112627975,0.23586752274238726,0.0,1.0
1.png,limited_noisy_sinogram.npy,0.005,60,0.8849429,13.99651452624697,0.2352208654191331,0.0,1.0
1.png,limited_noisy_sinogram.npy,0.01,60,0.8857196,13.988895390522844,0.23453472137339057,0.0,1.0
1.png,limited_noisy_sinogram.npy,0.05,60,0.8898735,13.948254191467571,0.23177973172082866,0.0,1.0
1.png,limited_noisy_sinogram.npy,0.1,60,0.89183056,13.929171784235667,0.23114268805964613,0.0,1.0
2.png,limited_noisy_sinogram.npy,0.001,60,0.9490747,13.484837315537387,0.13388490760014704,0.0,1.0
2.png,limited_noisy_sinogram.npy,0.005,60,0.9497497,13.478662196503254,0.1333763418683222,0.0,1.0
2.png,limited_noisy_sinogram.npy,0.01,60,0.9505035,13.471771207679112,0.13283206429385636,0.0,1.0
2.png,limited_noisy_sinogram.npy,0.05,60,0.9545148,13.435191852507982,0.13056370749530818,0.0,1.0
2.png,limited_noisy_sinogram.npy,0.1,60,0.9563719,13.4183095388175,0.1300238903175625,0.0,1.0
0.png,full_clean_sinogram.npy,0.001,60,1.0,12.96246028453021,0.12197337191483099,0.0,0.0
0.png,full_clean_sinogram.npy,0.005,60,1.0,12.96246028453021,0.12197337191483099,0.0,0.0
0.png,full_clean_sinogram.npy,0.01,60,1.0,12.96246028453021,0.12197337191483099,0.0,0.0
0.png,full_clean_sinogram.npy,0.05,60,1.0,12.96246028453021,0.12197337191483099,0.0,0.0
0.png,full_clean_sinogram.npy,0.1,60,1.0,12.96246028453021,0.12197337191483099,0.0,0.0
1.png,full_clean_sinogram.npy,0.001,60,1.0,12.934814523587095,0.21864329643287622,0.0,0.0
1.png,full_clean_sinogram.npy,0.005,60,1.0,12.934814523587095,0.21864329643287622,0.0,0.0
1.png,full_clean_sinogram.npy,0.01,60,1.0,12.934814523587095,0.21864329643287622,0.0,0.0
1.png,full_clean_sinogram.npy,0.05,60,1.0,12.934814523587095,0.21864329643287622,0.0,0.0
1.png,full_clean_sinogram.npy,0.1,60,1.0,12.934814523587095,0.21864329643287622,0.0,0.0
2.png,full_clean_sinogram.npy,0.001,60,1.0,13.030847356396665,0.12159089822441256,0.0,0.0
2.png,full_clean_sinogram.npy,0.005,60,1.0,13.030847356396665,0.12159089822441256,0.0,0.0
2.png,full_clean_sinogram.npy,0.01,60,1.0,13.030847356396665,0.12159089822441256,0.0,0.0
2.png,full_clean_sinogram.npy,0.05,60,1.0,13.030847356396665,0.12159089822441256,0.0,0.0
2.png,full_clean_sinogram.npy,0.1,60,1.0,13.030847356396665,0.12159089822441256,0.0,0.0
0.png,full_noisy_sinogram.npy,0.001,60,1.9733536,7.058343973333945,0.196406957305811,0.0,1.0
0.png,full_noisy_sinogram.npy,0.005,60,1.9731143,7.059396547110948,0.19634247418696862,0.0,1.0
0.png,full_noisy_sinogram.npy,0.01,60,1.9728363,7.060620749310608,0.19626701329205876,0.0,1.0
0.png,full_noisy_sinogram.npy,0.05,60,1.9726238,7.061556624045668,0.19621054061468607,0.0,1.0
0.png,full_noisy_sinogram.npy,0.1,60,1.9725784,7.061756476869812,0.19619991033453227,0.0,1.0
1.png,full_noisy_sinogram.npy,0.001,60,1.5372136,9.200121560752116,0.353003922225661,0.0,1.0
1.png,full_noisy_sinogram.npy,0.005,60,1.5365627,9.203800721136918,0.3530066357240548,0.0,1.0
1.png,full_noisy_sinogram.npy,0.01,60,1.5358044,9.208088962901021,0.353009596575441,0.0,1.0
1.png,full_noisy_sinogram.npy,0.05,60,1.5352181,9.21140484888069,0.35301318262159986,0.0,1.0
1.png,full_noisy_sinogram.npy,0.1,60,1.535093,9.212112747619152,0.3530152885671824,0.0,1.0
2.png,full_noisy_sinogram.npy,0.001,60,1.9975312,7.020958092807933,0.1966885257419608,0.0,1.0
2.png,full_noisy_sinogram.npy,0.005,60,1.9972838,7.022033383954471,0.19662333556887926,0.0,1.0
2.png,full_noisy_sinogram.npy,0.01,60,1.9969964,7.0232838335857934,0.19654769270868966,0.0,1.0
2.png,full_noisy_sinogram.npy,0.05,60,1.9967765,7.0242403855803195,0.1964915087850418,0.0,1.0
2.png,full_noisy_sinogram.npy,0.1,60,1.9967293,7.024444666215227,0.1964809633778161,0.0,1.0
